,V1,V2,V3,V4,V5,V6,V7,V8,V9,hate_crimes_per_100k_splc,avg_hatecrimes_per_100k_fbi
1,-0.198815199,0.0680071,-0.077363349,-0.118291986,-0.184796683,-0.047333799,0.091369552,0.107359052,0.107823124,-0.695994553,-0.304169367
2,0.19051871,0.28342558,-0.35662744,0.11813552,-0.042083182,-0.061309748,-0.228702095,0.134129588,0.252965478,-0.622748649,-0.391262543
3,-0.091679648,0.154389305,0.080036844,0.061878787,0.242007328,-0.066489861,-0.17848279,-0.052260301,0.057658976,-0.288950275,0.630994953
4,-0.158209351,-0.029644079,0.016381307,-0.162235288,-0.08271999,0.024145978,-0.038034783,-0.078767062,-0.024131544,-0.92831244,-0.849381167
5,0.080833776,0.167465344,0.078217048,-0.398057891,0.184693805,0.127711872,-0.144335195,-0.102126982,-0.13376617,-0.164213823,0.03997632
6,0.087790829,-0.100847069,0.078950759,0.045327264,0.030538126,-0.08935632,0.093200055,0.009977638,0.006512798,0.387008533,0.276573438
7,0.229404492,0.127992405,0.021717301,-0.038071214,-0.189124233,0.009032727,0.275568145,-0.069693924,0.251261521,0.161430133,0.839709416
8,0.035298095,0.006240518,0.126834698,0.069655236,-0.127262584,-0.05062532,-0.161009328,0.095353312,-0.183544292,0.109719105,-0.499886177
9,0.200470522,0.330284679,-0.035626617,-0.000928302,0.12069996,-0.169710005,0.564800472,0.073105428,-0.184739838,5.017880757,5.017087008
10,-0.139503631,-0.022036755,0.263009409,0.172884747,0.20573235,0.087420775,0.082971411,0.116316484,0.124483024,-0.44361049,-0.94894005
11,-0.08705697,0.084916187,0.044866309,-0.03546493,0.129085827,-0.109650763,-0.00732563,0.024321161,0.08162865,-0.718165957,-1.115352994
12,0.245714405,-0.122245728,-0.001539099,-0.117483106,0.120818741,0.118418356,-0.099623641,0.670141365,-0.060028567,-0.718165957,-1.115352994
13,-0.02742289,-0.11916145,0.035215434,0.075672709,-6.95E-05,0.14523772,-0.101539268,-0.060192378,0.061828144,-0.702667068,-0.254767609
14,-0.004724159,0.061317182,0.106912828,0.071044504,0.021070258,-0.188837822,0.016450321,-0.053801613,-0.152658125,-0.411599963,-0.747688216
15,-0.110016782,-0.124209858,0.153314783,0.100292506,-0.122656769,0.137058474,-0.092087837,0.043237407,-0.049173164,-0.200206198,-0.332706212
16,0.039721122,-0.177478737,-0.047908859,0.13159367,0.028401033,0.017044453,-0.044908127,-0.006256609,-0.058694014,0.648483579,-1.028449838
17,-0.027330743,-0.090582739,-0.039760627,0.151171249,0.075153768,0.154971823,0.056752234,0.100547298,0.174236325,-0.780636854,-0.10778631
18,-0.19101347,-0.071526236,-0.070421806,-0.254143999,-0.075115442,0.463859785,0.104522188,-0.077721443,0.059242841,0.116440912,1.09287769
19,-0.196849409,0.068806556,0.08383059,-0.023440813,-0.285806095,-0.010592534,0.083523414,0.25126177,0.06631921,-0.761893383,-0.57482068
20,-0.053961054,-0.10141287,-0.119237937,0.167552623,0.02063634,0.195046142,0.038836409,-0.022559204,-0.247710348,1.307843495,0.17297765
21,0.321612326,0.151221271,0.003641938,-0.109265262,-0.114472198,0.14997542,-0.154232584,0.11750866,0.076429307,0.304829929,-0.584320575
22,0.121746778,-0.001414009,0.16804528,0.104626262,0.116043429,0.126419488,0.183678713,-0.142216374,0.001261687,1.370186621,1.438439523
23,-0.049430522,-0.013946667,0.140405421,0.1985662,-0.104665147,-0.053860491,-0.02086373,0.001772857,-0.086079008,0.441248112,0.506800825
24,0.184605983,-0.090015096,-0.009507314,0.054342555,-0.020219524,-0.177745697,-0.004183997,-0.153222501,-0.022877093,1.356558626,0.746461807
25,-0.302587406,0.040075185,-0.205149174,-0.214073109,0.182528971,0.01306494,0.040214054,0.076793592,-0.085496447,-0.934916293,-0.992759572
26,0.021598996,0.05775178,-0.014755629,0.00010207,-0.290484465,-0.230130468,0.000928165,-0.0973708,0.075324277,-0.455876164,-0.244514677
27,-0.063298556,-0.148022139,-0.27823084,0.101302958,0.092913153,-0.072668136,0.085366511,-0.035271564,-0.060815052,0.81650263,0.363992527
28,0.025284852,-0.283244066,0.022423423,-0.007798559,0.143944009,-0.222794051,-0.04466854,-0.08635202,0.065516661,-0.558306714,0.20767143
29,-0.082142495,0.215350387,0.010416384,0.034081901,0.241837095,-0.164637152,-0.26895417,-0.104474898,-0.085868601,-0.631205975,-0.125236617
30,0.279102119,-0.108667467,-0.145819451,-0.159702375,-0.175177124,-0.01338214,-0.091134981,-0.202681816,-0.064319327,-0.590794788,-0.129891485
31,0.153875157,0.154358278,0.089296116,0.017573232,0.170404051,0.078963287,-0.030847876,-0.105315083,0.215096574,-0.89048433,1.212317363
32,-0.131118308,0.209703308,-0.140820994,-0.078037221,0.052459914,-0.103479743,-0.05534496,0.252786864,-0.212789309,-0.004614016,-0.257615448
33,-0.014030946,0.014720404,0.177140827,-0.039015699,0.179036267,0.127998706,0.303160078,-0.034349424,0.055429658,0.223738922,0.449628158
34,-0.12961325,0.067609214,0.013187582,0.01384745,-0.015757118,-0.092835814,0.010037537,0.04446961,-0.04230846,-0.212490596,-0.620481657
35,0.084565705,-0.273406089,-0.099991767,-0.11535631,0.017939641,0.020624051,0.030348697,-0.038416648,0.201119542,-0.212490596,1.403052328
36,-0.085690132,-0.100045972,0.091651217,0.129418008,-0.086841464,-0.03722375,0.042106739,0.022030243,-0.075242607,-0.430546823,0.530057883
37,-0.123239791,-0.129587448,-0.029753997,-0.063565574,0.052714962,-0.131841918,0.042403976,0.096186156,0.174647896,-0.664119678,-0.725781843
38,0.056077109,0.200209048,-0.028804802,0.22567024,0.072126762,0.244127083,-0.067927613,-0.095990403,0.013182368,2.196865104,0.619917446
39,-0.000777222,0.048651722,0.084686067,0.156217555,-0.218534937,-0.002150794,0.074174608,0.036532718,0.036652884,-0.044345141,-1.104348853
40,0.052360537,0.084532635,0.168047835,-0.071069701,-0.059927069,-0.009227435,-0.032874626,-0.238353116,-0.116431275,-0.820534105,-0.608909576
41,-0.158101847,0.04175273,0.067806195,0.006707771,-0.183746695,-0.259088566,-0.032206125,0.06472463,-0.084659846,-0.352066572,-0.228151461
42,-0.033335617,-0.221460388,-0.081067102,0.055509097,0.092966408,-0.215370192,0.079932411,-0.050411315,0.105036757,-0.352066572,0.565728544
43,-0.176730778,0.034176635,0.107681096,0.007954597,-0.127648069,0.150235053,0.037842376,0.005082166,0.132308641,-0.392803079,0.469341653
44,-0.02071156,-0.116432057,0.241309402,-0.446535183,0.127902706,-0.165124281,-0.102434221,-0.072568142,0.047376225,-0.336970267,-0.917119816
45,0.125309773,-0.142671172,0.110678269,0.070390997,-0.125309063,0.052676398,-0.21669836,-0.022426418,-0.141934367,-0.65218166,0.031877941
46,0.084227835,-0.145107936,-0.322311104,-0.078386945,-0.018174392,0.101473384,0.188899678,-0.081295053,-0.453591992,0.115426749,-0.247931611
47,0.167881411,-0.025463629,0.090261893,-0.187630049,-0.169399958,-0.010012918,0.010212431,0.028440089,0.062488705,0.275410474,-0.351672233
48,0.059041151,0.058708301,0.047911912,0.206791302,0.174014941,0.144207081,-0.109071004,-0.048375494,-0.103952048,1.561174086,0.865910502
49,-0.240680381,0.236499217,-0.252582871,0.007453224,-0.15790828,0.115194092,-0.095960833,-0.255852671,0.065903955,0.133953725,-0.169994009
50,0.04386771,-0.07589806,-0.026079015,0.093644712,-0.081325104,0.027561986,-0.102637446,0.040588305,-0.124554897,-0.285361256,-0.702353541
51,0.007162727,-0.133637256,-0.340518373,0.069144572,0.163555237,-0.076989357,-0.011210416,-0.024343138,0.283631159,-0.285361256,-1.199747274
